1955,40488030
1960,44988690
1965,50917975
1970,58142060
1975,66816877
1980,78054343
1985,92191510
1990,107647921
1995,123776839
2000,142343578
2005,160304008
2010,179424641
2015,199426964
2016,203631353
2017,207906209
2018,212228286
2019,216565318
2020,220892340
